officer_name,tenure_id,tenure_idx,officer_id,post_id,officer_start_date_idx,start_date,end_date,start_order_id,start_detail_idx,end_order_id,end_detail_idx,role,manager_ids,reportee_ids,all_order_infos
Swaran Singh,Q1034290-0,0,Q1034290,D:__department__>Ministry of Supply,0,1952-05-13,1957-04-16,1_Upload_2945.pdf,12,,-1,Cabinet Minister,[],[],"[('1_Upload_2945.pdf', 12), ('1_Upload_3098.pdf', 2)]"
Swaran Singh,Q1034290-1,1,Q1034290,D:__department__>Ministry of Works and Housing,0,1952-05-13,1957-04-16,1_Upload_2945.pdf,12,,-1,Cabinet Minister,[],['Q112919466-0'],"[('1_Upload_2945.pdf', 12), ('1_Upload_3098.pdf', 2)]"
Swaran Singh,Q1034290-10,10,Q1034290,D:__department__>Ministry of Supply,0,1964-06-20,1964-07-19,1_Upload_2907.pdf,3,1_Upload_2918.pdf,1,Cabinet Minister,[],"['Q15724841-3', 'Q6433963-6']","[('1_Upload_2907.pdf', 3), ('1_Upload_2914.pdf', 0), ('1_Upload_2908.pdf', 4), ('1_Upload_2918.pdf', 1)]"
Swaran Singh,Q1034290-11,11,Q1034290,D:__department__>Ministry of External Affairs,0,1964-07-19,1966-01-11,1_Upload_2918.pdf,1,,-1,Cabinet Minister,[],"['Q5278104-2', 'Q6479884-3']","[('1_Upload_2918.pdf', 1), ('1_Upload_2909.pdf', 4)]"
Swaran Singh,Q1034290-12,12,Q1034290,D:__department__>Ministry of External Affairs,0,1966-01-14,1966-01-24,1_Upload_2008.pdf,0,,-1,Cabinet Minister,[],['Q5278104-3'],"[('1_Upload_2008.pdf', 0)]"
Swaran Singh,Q1034290-13,13,Q1034290,D:__department__>Ministry of External Affairs,0,1966-01-24,1966-11-13,1_Upload_2010.pdf,3,1_Upload_2892.pdf,2,Cabinet Minister,[],"['Q5278104-4', 'Q5278104-6']","[('1_Upload_2010.pdf', 3), ('1_Upload_2874.pdf', 3), ('1_Upload_2875.pdf', 3), ('1_Upload_2892.pdf', 2)]"
Swaran Singh,Q1034290-14,14,Q1034290,D:__department__>Ministry of Defence,0,1966-11-13,1970-06-28,1_Upload_2892.pdf,2,1_Upload_2826.pdf,6,Cabinet Minister,[],"['Q111736903-0', 'Q23060304-0', 'Q2604943-11', 'Q3630093-9', 'Q6124294-18']","[('1_Upload_2892.pdf', 2), ('1_Upload_2012.pdf', 15), ('1_Upload_2853.pdf', 15), ('1_Upload_2855.pdf', 17), ('1_Upload_2856.pdf', 16), ('1_Upload_2857.pdf', 16), ('1_Upload_2835.pdf', 15), ('1_Upload_2836.pdf', 14), ('1_Upload_2841.pdf', 15), ('1_Upload_2851.pdf', 3), ('1_Upload_2842.pdf', 11), ('1_Upload_2840.pdf', 13), ('1_Upload_2826.pdf', 6)]"
Swaran Singh,Q1034290-15,15,Q1034290,D:__department__>Ministry of Steel and Heavy Engineering,0,1969-11-16,1970-06-28,1_Upload_2851.pdf,3,1_Upload_2826.pdf,6,Cabinet Minister,[],"['Q3595472-1', 'Q6892413-1']","[('1_Upload_2851.pdf', 3), ('1_Upload_2842.pdf', 11), ('1_Upload_2840.pdf', 13), ('1_Upload_2826.pdf', 6)]"
Swaran Singh,Q1034290-16,16,Q1034290,D:__department__>Ministry of External Affairs,0,1970-06-28,1971-03-18,1_Upload_2826.pdf,6,,-1,Cabinet Minister,[],['Q45348465-0'],"[('1_Upload_2826.pdf', 6), ('1_Upload_2822.pdf', 4)]"
Swaran Singh,Q1034290-17,17,Q1034290,D:__department__>Ministry of External Affairs,0,1971-03-18,1974-10-11,1_Upload_1995.pdf,4,1_Upload_2748.pdf,2,Cabinet Minister,[],"['Q45348465-1', 'Q45348465-2']","[('1_Upload_1995.pdf', 4), ('1_Upload_2784.pdf', 4), ('1_Upload_2785.pdf', 4), ('1_Upload_2772.pdf', 4), ('1_Upload_2773.pdf', 4), ('1_Upload_2740.pdf', 4), ('1_Upload_2748.pdf', 2)]"
Swaran Singh,Q1034290-18,18,Q1034290,D:__department__>Ministry of Defence,0,1974-10-11,1975-12-01,1_Upload_2748.pdf,2,1_Upload_2691.pdf,1,Cabinet Minister,[],['Q1896096-0'],"[('1_Upload_2748.pdf', 2), ('1_Upload_2741.pdf', 3), ('1_Upload_2742.pdf', 3), ('1_Upload_2691.pdf', 1)]"
Swaran Singh,Q1034290-2,2,Q1034290,D:__department__>Ministry of Commerce,0,1956-08-31,1957-04-16,1_Upload_3098.pdf,2,,-1,Cabinet Minister,[],[],"[('1_Upload_3098.pdf', 2)]"
Swaran Singh,Q1034290-3,3,Q1034290,D:__department__>Ministry of Consumer Industries,0,1956-08-31,1957-04-16,1_Upload_3098.pdf,2,,-1,Cabinet Minister,[],[],"[('1_Upload_3098.pdf', 2)]"
Swaran Singh,Q1034290-4,4,Q1034290,D:__department__>Ministry of Mines and Fuel,0,1957-04-16,1962-04-10,1_Upload_2023.pdf,8,,-1,Cabinet Minister,[],['Q17285530-2'],"[('1_Upload_2023.pdf', 8)]"
Swaran Singh,Q1034290-5,5,Q1034290,D:__department__>Ministry of Steel,0,1957-04-16,1962-04-10,1_Upload_2023.pdf,8,,-1,Cabinet Minister,[],['Q17285530-3'],"[('1_Upload_2023.pdf', 8)]"
Swaran Singh,Q1034290-6,6,Q1034290,D:__department__>Ministry of Railways,0,1962-04-10,1963-09-02,1_Upload_2002.pdf,5,1_Upload_2893.pdf,3,Cabinet Minister,[],"['Q7387957-1', 'Q7461322-3']","[('1_Upload_2002.pdf', 5), ('1_Upload_2922.pdf', 5), ('1_Upload_2924.pdf', 5), ('1_Upload_2925.pdf', 6), ('1_Upload_2926.pdf', 6), ('1_Upload_2927.pdf', 6), ('1_Upload_2928.pdf', 6), ('1_Upload_2897.pdf', 13)]"
Swaran Singh,Q1034290-7,7,Q1034290,D:__department__>Ministry of Agriculture,0,1963-09-01,1964-05-27,1_Upload_2897.pdf,13,,-1,,[],"['Q7288604-0', 'Q99390358-2', 'Q99390358-3']","[('1_Upload_2897.pdf', 13), ('1_Upload_2893.pdf', 3), ('1_Upload_2900.pdf', 0), ('1_Upload_2894.pdf', 3)]"
Swaran Singh,Q1034290-8,8,Q1034290,D:__department__>Ministry of Agriculture,0,1964-05-27,1964-06-09,1_Upload_2003.pdf,3,,-1,Cabinet Minister,[],"['Q7288604-1', 'Q99390358-4']","[('1_Upload_2003.pdf', 3)]"
Swaran Singh,Q1034290-9,9,Q1034290,D:__department__>Ministry of Industry,0,1964-06-09,1964-07-19,1_Upload_2004.pdf,3,1_Upload_2918.pdf,1,Cabinet Minister,[],"['Q15724841-2', 'Q6433963-5']","[('1_Upload_2004.pdf', 3), ('1_Upload_2907.pdf', 3), ('1_Upload_2914.pdf', 0), ('1_Upload_2908.pdf', 4), ('1_Upload_2918.pdf', 1)]"
B. L. Verma (Uttar Pradesh politician),Q104178808-0,0,Q104178808,D:__department__>Ministry of Cooperation,0,2021-07-07,2024-06-09,1_Upload_3158.pdf,62,,-1,Minister of State,['Q4746875-1'],[],"[('1_Upload_3158.pdf', 62), ('1_Upload_3004.pdf', 47), ('1_Upload_3297.pdf', 60), ('1_Upload_3634.pdf', 60), ('1_Upload_3795.pdf', 57), ('1_Upload_3837.pdf', 56)]"
B. L. Verma (Uttar Pradesh politician),Q104178808-1,1,Q104178808,D:__department__>Ministry of Development of North Eastern Region,0,2021-07-07,2024-06-09,1_Upload_3158.pdf,62,,-1,Minister of State,['Q5512319-2'],[],"[('1_Upload_3158.pdf', 62), ('1_Upload_3004.pdf', 47), ('1_Upload_3297.pdf', 60), ('1_Upload_3634.pdf', 60), ('1_Upload_3795.pdf', 57), ('1_Upload_3837.pdf', 56)]"
B. L. Verma (Uttar Pradesh politician),Q104178808-2,2,Q104178808,"D:__department__>Ministry of Consumer Affairs, Food and Public Distribution",0,2024-06-09,to_date,1_Upload_3889.pdf,49,,-1,Minister of State,['Q7238224-3'],[],"[('1_Upload_3889.pdf', 49)]"
Bhanu Prakash Singh,Q104666566-0,0,Q104666566,D:__department__>Ministry of Corporate Affairs,0,1967-03-18,1969-02-14,1_Upload_2854.pdf,15,1_Upload_2833.pdf,26,Deputy Minister,['Q317778-3'],[],"[('1_Upload_2854.pdf', 15), ('1_Upload_2855.pdf', 48), ('1_Upload_2856.pdf', 47), ('1_Upload_2857.pdf', 52), ('1_Upload_2835.pdf', 51), ('1_Upload_2836.pdf', 50), ('1_Upload_2833.pdf', 26)]"
Bhanu Prakash Singh,Q104666566-1,1,Q104666566,D:__department__>Ministry of Industry,0,1967-03-18,1969-02-14,1_Upload_2854.pdf,15,1_Upload_2833.pdf,26,Deputy Minister,"['Q13633433-3', 'Q317778-4']",[],"[('1_Upload_2854.pdf', 15), ('1_Upload_2855.pdf', 48), ('1_Upload_2856.pdf', 47), ('1_Upload_2857.pdf', 52), ('1_Upload_2835.pdf', 51), ('1_Upload_2836.pdf', 50), ('1_Upload_2833.pdf', 26)]"
