Нuman Human
Не He
Осean Ocean
Осеan Ocean
星 <ignore>
Сoal Coal
• .
中 <ignore>
мinister Minister
Agricultuře; Agriculture;
Commerċe Commerce
Cómpany Company
Departmênt Department
Depártment Department
Deɔuty Deputy
Driņking Drinking
Energy• Energy
Finañce Finance
Industrý Industry
Informațion Information
Minişter Minister
Miniştry Ministry
Parliamenıtary Parliamentary
Procèssing Processing
Pëtroleum Petroleum
Sociał Social
Statė State
Statę State
Vřelinquished relinquished
Wélfare; Welfare;
řelinquished relinquished
Śwaraj Swaraj
Šingh. Singh.
Štate State
assumęd assumed
așsumed assumed
charġe) charge)
officé office
offiçe office
offiсе office
strý stry
thę the
´Affairs. Affairs.
· .
·Implementation. Implementation.
·of of
Óffice Office
ín in
óf: of:
С.к. C.K.
С.М. C.M.
М. M.
Р. P.
Veņod Venod
Р. P.
Р.К. P.K.
К.с. K.C.
Р.К. P.K.
Tripathí Tripathi
Р. P.
Şmt. Smt.
М. M.
Ражar Pawar
Rám Ram
Kümar Kumar
Šmt. Smt.
В. B.
Р.А. P.A.
Сapt. Capt.
М. M.
Р.К. P.K.
Сapt. Capt.
Jaņa Jana
Sumítra Sumtra
М.L. M.L.
М.М. M.M.
М.о.Н. M.O.H.
Girídhar Giridhar
Сompany Company
Prođuotion Produotion
Rehabilitätion. Rehabilitation.
Dèvelopment Development
Distribuțion. Distribution.
Miníster Minister
Mínister Minister
öf of
弘Ministry Ministry
İndustry. Industry.
öf of
Cooperatión. Cooperation
每Deputy Deputy
Parliamentarý Parliamentary
Staté State
◆Deputy Deputy
會Deputy Deputy
Нealth Health
Рood Pood
Députy Deputy
Соrmerce. Cormerce.
蒙Minister Minister
कMinister Minister
Сoal. Coal.
Juştice. Justice
Overseäs Overseas
Çoo Coo
Süpply Supply
Mìnister Minister
Сommerce. Commerce.
Räilways. Railways
Сoal. Coal.
Bäucation Baucation
å a
anå ana
Miní Mini
Minístry Ministry
Minister’s Minister's
the✓ the
Minister’s Minister's
Ministér Minister
trí tri
Civál Cival
от of
šted sted
sé se
Communicationsé Communicationse
iväntrala ivantrala
Ministër Minister
Welføre Welfare
Män Man
Pün Pun
of£ of
Süpply Supply
Agnleulturė Agnleulture
thė the
Mánister Manister
Résources. Resources.
aür aur
aüt aut
Mantſi Mantri
Kályaa Kalyaa
Sinchại Sinchai
Raşayan Rasyan
Pensionsý Pensions
Irriçation. Irrigation
Mantrálaya Mantrayala
Prašaran Prasaran
Utpadən) Utpadan)
Mantrì). Mantri.
öocial oocial
Irrigation¢ Irrigation
of£ of
Dévelopment Development
८he the
Dępartment Department
Parlíamentary Parliamentary
Départment Department
Depúty Deputy
Industry• Industry
Finançe. Finance
ওPrime Prime
Mìnister Minister
Mìnistry Ministry
Rehabilitácion. Rehabilitacion
Ministér Minister
tempɔrary temporary
the✓ the
Mänt Mant
Mäni mani
Mänistry Manistry
mà ma
Industöy Industoy
auſ auf
Máráster Maraster
Sansaðiya Sansadiya
Нeavy Heavy
Münister Munister
wünister munister
Financeſ Finance
aɔf of
Parliaméntary Parliamentary
Strţe State
Mantralayə Mantralaya
Соal. Coal.
tér ter
otáca otaca
Соорera Coopera
'Índustry. Industry.
Énvironment Environment
Ínformation Information
'Ćoal. Coal.
°Finance. Finance.
5cäte State
A££airs. Affairs
Рrogramne Programme
İndustries Industries
Minžster Minster
Miniștry Minstry
Fooü, Food
Foreșts. Forests
Deрartnent Department
Scienče Science
Oceán Ocean
omič omic
Spacě, Space,
Scienče Science
Oceán Ocean
Atomič Atomic
Spacě, Space
A£fairs. Affairs
th০ the
o£ of
State主 State
Неavy Heavy
Forests.老 Forests
Çivil Civil
the· the
Finançe; Finance;
台of of
A£fairs.. Affairs..
o£ of
aſ of
üyvinister minister
alво also
Welfarę. Welfare
(еxcluding (excluding
Banking© Banking
şier sier
Parliamentarų Parliamentary
ɔf of
Poɔrti Poorti
Jahkaritá Jahkarita
Poɔrti Poorti
öupplie oupplie
Distribution.レ Distribution
Finance.レ Finance
Commérce Commerce
Ştate State
Dėputy Deputy
Émpowerment. Empowerment.
álso also
othér other
Тextiles. Textiles.
Spaçe Space
Månister Manister
thƏ the
brà bra
Develúpment. Development
Đf of
Éxternal External
VŘailways, Railways,
çharge) charge)
Ürban Urban
VÍnformation Information
Éxternal External
М.G.K. M.G.K.
Shuklá Shukla
м. M.
Chanduž Chandul
Sanjívayya Sanjivayya
Resourċes. Resources.
sțate state
Informatiọn Information
MiniÍstry Ministry
Preşident President
dirəcted directed
С.К. C.K.
dipecteð directed
Áffairs Affairs
P.Ä. P.A.
Мay May
Маy, May,
Háthi, Hathi,
respectivély, respectively,
lɔ  1
20™ 20th
Мау, May,
Rághun Raghun
С.Р. C.P.
Manubhál Manubhai
officə office
Mìnes Mines
aşsumed assumed
Šupply Supply
relinquishęd relinquished
Miņister Minister
ņister Minister
ánd and
Tо To
К.Р. K.P.
Distributioń. Distribution
Р.М. P.M.
Тechnology Technology
Тech- Tech-
Miniştor Ministor
Mantıi Mantri
Paryątan Paryatan
Mantralayä Mantralaya
Vạnija Vanija
tši tri
relíncuished relinquished
thě the
Agriculturé Agriculture
Eduçation Education
ånd and
rélinmuished relinmuished
Miništer Minister
Fámily Family
Stațe State
T.Á, T.A.
Affairsí Affairs
Poworſ Powor(
Eirianceſ Finance(
vîfice office
Shafá Shafi
sàa sda
» >
Up» Up
Up-Mantrì). Up-Mantri).
